name,diet,cuisine,prep_time,calories,ingredients,instructions,type,image_url,
Spaghetti Aglio e Olio,Vegetarian,Italian,15 min,400,"1/2 lb spaghetti, 4 cloves garlic, 1/4 cup olive oil, 1/4 tsp red pepper flakes, 2 tbsp parsley, salt, black pepper","Cook pasta according to package directions. In a large skillet, heat olive oil over low heat. Add sliced garlic and red pepper flakes and cook until garlic is fragrant. Drain the cooked pasta and add it to the skillet. Toss to coat with the oil and garlic. Garnish with fresh parsley.",Dinner,http://example.com/spaghetti.jpg,
Vegan Black Bean Burgers,"Vegetarian, Vegan",American,30 min,350,"1 can black beans, 1/2 cup breadcrumbs, 1/4 cup chopped onion, 1 tsp cumin, 1/2 tsp chili powder, salt, pepper","In a bowl, mash the black beans. Add breadcrumbs, onion, and spices. Mix well. Form into patties. Cook in a skillet over medium heat for 5-7 minutes per side, or until golden brown. Serve on buns with your favorite toppings.",Lunch,http://example.com/black_bean_burger.jpg,
Fresh Berry Smoothie,"Vegetarian, Vegan, Gluten-Free",American,5 min,250,"1 cup mixed berries, 1/2 banana, 1/2 cup almond milk, 1 tsp honey or agave nectar",Combine all ingredients in a blender. Blend until smooth. Add more almond milk for a thinner consistency if desired. Serve immediately.,"Breakfast, Snack",http://example.com/smoothie.jpg,
Homemade Pizza Dough,Vegetarian,Italian,2 hours (with rise time),120,"1 1/4 cups warm water, 1 tsp sugar, 2 1/4 tsp active dry yeast, 3 cups all-purpose flour, 2 tbsp olive oil, 1 tsp salt","In a large bowl, dissolve sugar and yeast in warm water. Let stand for 10 minutes until foamy. Stir in flour, olive oil, and salt. Knead on a floured surface for 5-7 minutes until smooth. Place in a greased bowl, cover, and let rise for 1-1.5 hours. Punch down the dough and it's ready to use.","Ingredient, Snack",http://example.com/pizza_dough.jpg,
Classic Chicken Curry,Gluten-Free,Indian,45 min,550,"1 lb chicken, 1 onion, 2 tomatoes, 1 tbsp ginger-garlic paste, 1 tsp turmeric powder, 1 tsp coriander powder, 1/2 tsp cumin powder, salt to taste",Heat oil in a pan. Add chopped onions and cook until golden. Add ginger-garlic paste. Add chopped tomatoes and cook until soft. Add all powdered spices and mix well. Add chicken pieces and cook until done.,Dinner,http://example.com/chicken_curry.jpg,
Simple Garden Salad,"Vegetarian, Vegan, Gluten-Free",American,10 min,150,"2 cups lettuce, 1/2 cucumber, 1 tomato, 1/4 red onion, 1 tbsp olive oil, 1 tbsp vinegar, salt, pepper",Wash and chop all vegetables. Place in a bowl. Drizzle with olive oil and vinegar. Add salt and pepper. Toss well and serve.,Lunch,http://example.com/garden_salad.jpg,
Chocolate Chip Cookies,,American,25 min,200,"1 cup all-purpose flour, 1/2 cup butter, 1/2 cup brown sugar, 1/4 cup white sugar, 1 egg, 1/2 tsp baking soda, 1 tsp vanilla extract, 1 cup chocolate chips","Preheat oven to 375°F (190°C). Cream butter and sugars. Beat in egg and vanilla. Stir in flour, baking soda, and salt. Fold in chocolate chips. Drop spoonfuls onto a baking sheet. Bake for 9-11 minutes.",Dessert,http://example.com/cookies.jpg,
Spaghetti Aglio e Olio,Vegetarian,Italian,15 min,400,"1/2 lb spaghetti, 4 cloves garlic, 1/4 cup olive oil, 1/4 tsp red pepper flakes, 2 tbsp parsley, salt, black pepper","Cook pasta according to package directions. In a large skillet, heat olive oil over low heat. Add sliced garlic and red pepper flakes and cook until garlic is fragrant. Drain the cooked pasta and add it to the skillet. Toss to coat with the oil and garlic. Garnish with fresh parsley.",Dinner,https://www.google.com/search?q=http://example.com/spaghetti.jpg,
Vegan Black Bean Burgers,"Vegetarian, Vegan",American,30 min,350,"1 can black beans, 1/2 cup breadcrumbs, 1/4 cup chopped onion, 1 tsp cumin, 1/2 tsp chili powder, salt, pepper","n a bowl, mash the black beans. Add breadcrumbs, onion, and spices. Mix well. Form into patties. Cook in a skillet over medium heat for 5-7 minutes per side, or until golden brown. Serve on buns with your favorite toppings.",Lunch,https://www.google.com/search?q=http://example.com/black_bean_burger.jpg,
,,,,,,,,,
